Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2025-09-03,,0.0,,0.1833
2025-09-02,,0.05,,0.52
2025-08-30,,,0.2,
2025-08-29,,0.0,0.2,0.2
2025-08-28,,-0.15,,
2025-08-27,,-0.0833,,0.143
2025-08-26,,0.15,,0.2333
2025-08-21,,0.53,,
2025-08-20,,,,0.345
2025-08-19,,,,0.25
2025-08-14,,0.2,,0.0
2025-08-13,,0.3667,,
2025-08-12,,0.3375,,
2025-08-11,,0.3,,
2025-08-06,,0.15,0.835,0.2375
2025-08-05,,0.3533,,0.4
2025-08-01,,0.2,,0.0
2025-07-31,,,,0.1
2025-07-25,0.175,,,0.4
2025-07-22,,,,0.2
2025-07-21,,,,0.4
2025-07-18,,0.6,,
2025-07-17,,0.38,,
2025-07-15,,0.3333,,0.4133
2025-07-14,,0.565,,0.4
2025-07-11,,,,0.2
2025-07-10,,,,0.0
2025-07-09,,0.1,,0.3
2025-07-08,,0.445,,
2025-07-07,,0.225,,0.4025
2025-07-04,,0.7,,
2025-07-03,,0.75,,0.35
2025-07-01,,0.4,,-0.05
2025-06-30,,0.36,,0.3
2025-06-26,,,,0.1
2025-06-24,,,,0.35
2025-06-23,,0.55,,0.2
2025-06-16,,,,-0.3
2025-06-12,,,,0.488
2025-06-11,,0.68,,
2025-06-10,,,,0.0
2025-06-09,,,,0.2
2025-06-03,,,,0.0
2025-05-29,,,,-0.35
2025-05-28,,-0.2,,
2025-05-27,,-0.2,,0.165
2025-05-26,,0.1,,0.4
2025-05-21,,0.2,,0.1
2025-05-20,,0.405,,0.38
2025-05-19,0.73,0.3,,0.2
2025-05-14,,0.46,,
2025-05-13,,0.27,,
2025-05-08,,,,0.2
2025-05-07,,,,0.3
2025-05-06,,0.1,,0.1
2025-05-05,,0.1,,
2025-05-02,,,,0.1167
2025-05-01,,0.2,,0.2
2025-04-30,0.45,0.24,,
2025-04-28,,,,-0.075
2025-04-25,,0.05,,-0.175
2025-04-24,,-0.025,,0.275
2025-04-23,,0.41,,
2025-04-22,,0.43,,
2025-04-21,,,,0.1
2025-04-18,,,,0.0
2025-04-17,,,,-0.1
2025-04-16,,,,0.3
2025-04-15,,0.365,,0.4
2025-04-14,,0.63,,0.425
2025-04-13,,0.6,,
2025-04-11,,,,0.2
2025-04-10,,,,0.125
2025-04-08,,0.7,,-0.2
2025-04-05,0.55,,,
2025-04-04,-0.4,-0.2,,
2025-04-03,,0.35,,0.3
2025-04-02,,,,0.275
2025-03-28,,0.6,,0.1667
2025-03-27,,,,0.1
2025-03-26,,,,0.2
2025-03-25,,,,0.435
2025-03-21,,,,-0.3
2025-03-20,,0.2,,0.1667
2025-03-19,,,,0.325
2025-03-18,,,,0.4
2025-03-17,,,,0.3
2025-03-07,,0.525,,-0.25
2025-03-04,,0.4,,0.125
2025-03-03,,0.5133,,0.35
2025-03-02,,0.6,,0.68
2025-02-27,,0.25,,0.3789
2025-02-26,-0.1,0.425,,0.7
2025-02-25,,0.7,,
2025-02-24,,,,0.25
2025-02-22,,0.0,,
2025-02-21,,-0.4,,
2025-02-20,,-0.1,,0.15
2025-02-19,,,,-0.2833
2025-02-18,-0.3,0.1,,-0.2083
2025-02-17,,0.15,,0.2
2025-02-14,,0.525,,
2025-02-13,,0.1,,
2025-02-12,,0.175,,
2025-02-10,,0.5,,
2025-02-05,0.3,,,
2025-01-28,-0.2,,,
2025-01-24,,0.4,,
2025-01-22,,-0.35,,
2025-01-21,,-0.35,,
2025-01-20,,0.1,,
2025-01-19,,0.1,,
2025-01-15,,0.3,,
2025-01-12,,0.3,,
2025-01-11,,0.4,,
2025-01-07,,0.2,,
2025-01-02,,0.425,,
2025-01-01,,0.4,,
2024-12-11,,0.2,,
2024-12-05,0.3,,,
2024-12-02,,0.0,,
2024-11-30,0.1,0.2,,
2024-11-28,,0.4,,
2024-11-27,,0.465,,
2024-11-26,,0.29,,
2024-11-25,,0.2,,
2024-11-13,,0.2,,
2024-11-12,0.32,0.15,,
2024-11-11,,0.1,,
2024-11-08,,0.42,,
2024-10-30,,0.1,,
2024-10-29,,0.35,,
2024-10-28,,-0.2,,
2024-10-27,0.3,0.3375,,
2024-10-26,,0.3,,
2024-10-25,0.0,0.2,,
2024-10-24,,0.2,,
2024-10-23,,0.2,,
2024-10-22,,0.4525,,
2024-10-20,,0.125,,
2024-10-19,,0.275,,
2024-10-17,,-0.3,,
2024-10-09,,0.6,,
2024-10-08,,0.6,,
2024-10-03,,0.4,,
2024-10-02,,0.1,,
2024-09-24,,0.64,,
2024-09-22,,0.2,,
2024-09-21,,0.2,,
2024-09-19,,0.4,,
2024-09-18,,0.4,,
2024-09-12,0.76,,,
2024-09-11,,0.6,,
2024-09-09,0.62,,,
2024-09-06,0.2,,,
2024-08-30,,0.3,,
2024-08-29,,0.3,,
2024-08-28,0.7,0.25,,
2024-08-22,,0.7,,
2024-08-15,,0.53,,
2024-08-14,-0.5,,,
2024-08-13,,0.375,,
2024-08-08,,0.325,,
2024-08-07,,0.2,,
2024-08-06,0.6,,,
2024-07-30,-0.1,,,
2024-07-24,-0.375,-0.15,,
2024-07-17,,0.59,,
2024-07-16,,0.2,,
2024-07-10,,0.3,,
2024-07-07,,0.5,,
2024-07-06,,0.55,,
2024-07-05,0.74,0.38,,
2024-06-27,,0.3,,
2024-06-18,0.8,,,
2024-06-13,0.3,,,
2024-06-10,0.35,,,
2024-06-06,0.65,,,
2024-05-28,,0.49,,
2024-05-24,0.45,,,
2024-05-23,-0.6,,,
2024-04-29,,0.88,,
2024-04-09,-0.45,,,
2024-03-22,,0.47,,
2024-03-11,,0.6,,
