Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-01-07,,,,0.225
2026-01-06,,,,0.6
2026-01-05,,0.25,,0.5067
2026-01-02,,,,0.275
2025-12-31,,,,0.5
2025-12-30,,,,0.25
2025-12-29,,,,0.25
2025-12-24,0.25,-0.2,,0.3
2025-12-23,,,,0.75
2025-12-22,,,,0.225
2025-12-18,,,,0.1
2025-12-17,,,,0.15
2025-12-16,,,,0.2
2025-12-12,,,,0.3375
2025-12-05,,,,-0.2
2025-12-04,,,,0.075
2025-12-03,,,0.325,0.2875
2025-12-02,,0.6,,
2025-11-26,,,,0.09
2025-11-25,,0.25,,0.4
2025-11-24,,0.25,,0.1857
2025-11-21,,0.125,,0.025
2025-11-20,,0.25,,
2025-11-17,,0.1,,0.1
2025-11-14,,,,0.4
2025-11-13,,0.4,,0.14
2025-11-12,,0.1,,0.2875
2025-11-11,,0.1,,0.2125
2025-11-10,,0.3075,,
2025-11-09,,0.3167,,
2025-11-08,,0.125,,
2025-11-07,,0.25,,0.4
2025-11-05,,0.25,,
2025-11-03,,0.25,,
2025-11-02,,0.2833,,
2025-11-01,,0.175,0.25,
2025-10-31,,0.1333,0.1,
2025-10-30,,0.1,,
2025-10-29,,0.2,,
2025-10-28,,0.1125,,
2025-10-27,,0.5,,
2025-10-26,,0.4,,
2025-10-25,,0.4,,
2025-10-22,,,,0.305
2025-10-21,,0.15,,0.4933
2025-10-19,0.4,,,
2025-10-17,,0.25,,
2025-10-16,,0.05,,
2025-10-15,,0.1,,
2025-10-13,,,,0.05
2025-10-09,,0.2,,
2025-10-03,,,,0.76
2025-10-02,,0.7,,0.35
2025-10-01,,,,0.45
2025-09-30,,0.25,,0.22
2025-09-29,0.325,0.275,,0.2
2025-09-26,,0.15,,0.175
2025-09-24,,,,0.1
2025-09-23,,0.2,,0.15
2025-09-19,,0.5,,
2025-09-18,,0.25,,
2025-09-17,,0.55,,
2025-09-12,,,,-0.05
2025-09-11,,0.2,,
2025-09-10,,0.2,,
2025-09-09,,0.525,,0.25
2025-09-08,,0.1,,
2025-09-03,,0.0,,0.2133
2025-09-02,,0.15,,0.6
2025-08-30,,,0.25,
2025-08-29,,0.25,0.1,0.1167
2025-08-28,,0.225,,
2025-08-27,,0.2233,,0.239
2025-08-26,,0.2833,,0.1833
2025-08-21,,0.5,,
2025-08-20,,,,0.325
2025-08-19,,,,0.7
2025-08-14,,0.0,,0.2
2025-08-13,,0.2667,,
2025-08-12,,0.25,,
2025-08-11,,0.25,,
2025-08-06,,0.175,0.82,0.25
2025-08-05,,0.4167,,0.125
2025-08-01,,0.2,,0.25
2025-07-31,,,,0.15
2025-07-25,0.1,,,0.4
2025-07-22,,,,0.075
2025-07-21,,,,0.1
2025-07-18,,0.25,,
2025-07-17,,0.3333,,
2025-07-15,,0.2833,,0.2267
2025-07-14,,0.4,,0.25
2025-07-11,,,,0.25
2025-07-10,,,,0.19
2025-07-09,,0.2,,0.25
2025-07-08,,0.275,,
2025-07-07,,0.25,,0.35
2025-07-04,,0.4,,
2025-07-03,,0.45,,0.25
2025-07-01,,0.5,,0.1
2025-06-30,,0.325,,0.08
2025-06-26,,,,0.55
2025-06-24,,,,0.15
2025-06-23,,0.6,,0.25
2025-06-16,,,,-0.2
2025-06-12,,,,0.46
2025-06-11,,0.6,,
2025-06-10,,,,0.1
2025-06-09,,,,0.4
2025-06-03,,,,0.1
2025-05-29,,,,-0.4
2025-05-28,,-0.13,,
2025-05-27,,-0.05,,0.2483
2025-05-26,,0.2,,0.25
2025-05-21,,0.175,,0.05
2025-05-20,,0.225,,0.175
2025-05-19,0.63,0.25,,0.4
2025-05-14,,0.25,,
2025-05-13,,0.25,,
2025-05-08,,,,0.1
2025-05-07,,,,0.1
2025-05-06,,0.2,,0.05
2025-05-05,,0.2,,
2025-05-02,,,,0.2333
2025-05-01,,0.25,,0.25
2025-04-30,0.6,0.25,,
2025-04-28,,,,0.125
2025-04-25,,0.1,,-0.05
2025-04-24,,0.15,,0.2625
2025-04-23,,0.4,,
2025-04-22,,0.25,,
2025-04-21,,,,0.325
2025-04-18,,,,0.25
2025-04-17,,,,-0.1
2025-04-16,,,,0.2
2025-04-15,,0.35,,0.24
2025-04-14,,0.525,,-0.025
2025-04-13,,0.5,,
2025-04-11,,,,0.025
2025-04-10,,,,0.05
2025-04-08,,0.7,,-0.15
2025-04-05,0.2,,,
2025-04-04,0.17,0.15,,
2025-04-03,,0.35,,0.225
2025-04-02,,,,0.225
2025-03-28,,0.2,,0.3
2025-03-27,,,,0.05
2025-03-26,,,,0.2
2025-03-25,,,,0.475
2025-03-21,,,,-0.2
2025-03-20,,0.25,,0.0833
2025-03-19,,,,0.25
2025-03-18,,,,0.2
2025-03-17,,,,0.4
2025-03-07,,0.6,,0.0567
2025-03-04,,0.4,,0.125
2025-03-03,,0.35,,0.25
2025-03-02,,0.5,,0.6
2025-02-27,,0.375,,0.4411
2025-02-26,0.1,0.325,,0.2
2025-02-25,,0.5,,
2025-02-24,,,,0.2
2025-02-22,,-0.1,,
2025-02-21,,-0.2,,
2025-02-20,,0.1,,0.1
2025-02-19,,,,-0.0333
2025-02-18,0.1,0.2,,-0.0917
2025-02-17,,0.15,,0.1
2025-02-14,,0.325,,
2025-02-13,,0.09,,
2025-02-12,,0.275,,
2025-02-10,,0.25,,
2025-02-05,0.28,,,
2025-01-28,-0.04,,,
2025-01-24,,0.33,,
2025-01-22,,-0.25,,
2025-01-21,,-0.15,,
2025-01-20,,0.1,,
2025-01-19,,0.2,,
2025-01-15,,0.2,,
2025-01-12,,0.2,,
2025-01-11,,0.1,,
2025-01-07,,0.5,,
2025-01-02,,0.375,,
2025-01-01,,0.3,,
2024-12-11,,0.2,,
2024-12-05,0.25,,,
2024-12-02,,0.2,,
2024-11-30,0.4,0.25,,
2024-11-28,,0.2,,
2024-11-27,,0.4,,
2024-11-26,,0.3,,
2024-11-25,,0.5,,
2024-11-13,,0.25,,
2024-11-12,0.25,0.1,,
2024-11-11,,0.1,,
2024-11-08,,0.25,,
2024-10-30,,0.2,,
2024-10-29,,0.375,,
2024-10-28,,-0.15,,
2024-10-27,0.6,0.3,,
2024-10-26,,0.325,,
2024-10-25,0.25,0.075,,
2024-10-24,,0.1,,
2024-10-23,,0.07,,
2024-10-22,,0.2625,,
2024-10-20,,0.165,,
2024-10-19,,0.25,,
2024-10-17,,-0.2,,
2024-10-09,,0.25,,
2024-10-08,,0.2,,
2024-10-03,,0.2,,
2024-10-02,,0.2,,
2024-09-24,,0.2,,
2024-09-22,,0.5,,
2024-09-21,,0.6,,
2024-09-19,,0.25,,
2024-09-18,,0.25,,
2024-09-12,0.7,,,
2024-09-11,,0.4,,
2024-09-09,0.35,,,
2024-09-06,0.25,,,
2024-08-30,,0.1,,
2024-08-29,,0.325,,
2024-08-28,0.59,0.6,,
2024-08-22,,0.4,,
2024-08-15,,0.25,,
2024-08-14,-0.3,,,
2024-08-13,,0.375,,
2024-08-08,,0.325,,
2024-08-07,,0.2,,
2024-08-06,0.4,,,
2024-07-30,0.4,,,
2024-07-24,0.06,0.125,,
2024-07-17,,0.6,,
2024-07-16,,0.2,,
2024-07-10,,0.2,,
2024-07-07,,0.4,,
2024-07-06,,0.5,,
2024-07-05,0.5,0.25,,
2024-06-27,,0.25,,
2024-06-18,0.5,,,
2024-06-13,-0.4,,,
2024-06-10,0.25,,,
2024-06-06,0.7,,,
2024-05-28,,0.425,,
2024-05-24,0.7,,,
2024-05-23,0.3,,,
2024-04-29,,0.85,,
2024-04-09,0.05,,,
2024-03-22,,0.37,,
2024-03-11,,0.25,,
