Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2025-02-11,,-0.2,,
2025-02-03,,-0.2,,
2025-01-22,,0.45,,
2025-01-12,,0.6,,
2025-01-10,,0.0,,
2025-01-09,,-0.0333,,
2024-12-26,,-0.85,,
2024-12-20,,0.85,,
2024-12-18,,0.05,,
2024-12-17,,0.45,,
2024-12-11,,0.1,,
2024-12-09,,0.0,,
2024-12-04,,0.0,,
2024-12-03,,0.75,,
2024-12-02,,0.0,,
2024-11-29,,0.6,,
2024-11-21,,0.4,,
2024-11-11,,0.0,,
2024-11-07,,0.0,,
2024-11-01,,0.3,,
2024-10-31,,0.0,,
2024-10-22,,0.95,,
2024-10-13,,0.2,,
2024-10-11,,-0.05,,
2024-10-10,0.75,0.05,,
2024-10-09,0.6,0.475,,
2024-10-08,,-0.1,,
2024-09-10,,0.0,,
2024-09-09,0.85,0.35,,
2024-08-28,,0.1,,
2024-08-27,0.65,0.625,,
2024-07-17,,0.1,,
2024-05-21,,0.2,,
2024-05-20,0.55,,,
2024-05-09,-0.325,,,
2024-05-08,,0.65,,
2024-04-30,,0.0,,
