Date,Sentiment,Close
2025-09-26,0.1,9.89
2025-09-24,0.0,9.83
2025-09-23,0.05,9.82
2025-09-19,0.7,9.8
2025-09-17,0.3,9.94
2025-09-12,0.0,9.87
2025-09-11,0.6,9.77
2025-09-09,0.3,10.04
2025-09-08,-0.2,10.0
2025-09-03,0.1083,9.98
2025-09-02,0.325,10.06
2025-08-30,0.25,10.06
2025-08-29,0.075,9.9
2025-08-28,-0.05,9.95
2025-08-27,0.1364,9.79
2025-08-26,0.2625,9.75
2025-08-21,0.8,9.78
2025-08-20,0.275,9.8
2025-08-19,0.25,9.8
2025-08-14,0.125,9.84
2025-08-13,0.3167,9.86
2025-08-12,0.15,9.71
2025-08-06,0.4167,9.63
2025-08-05,0.3167,9.66
2025-08-01,0.4,9.6
2025-07-31,0.0,9.39
2025-07-25,0.3333,9.54
2025-07-22,0.15,9.53
2025-07-21,0.2,9.52
2025-07-18,0.6,9.52
2025-07-17,0.375,9.53
2025-07-15,0.3611,9.65
2025-07-14,0.675,9.72
2025-07-11,0.25,9.69
2025-07-10,-0.02,9.73
2025-07-09,0.1,9.7
2025-07-08,0.4,9.7
2025-07-07,0.2875,9.72
2025-07-04,0.85,9.74
2025-07-03,0.675,9.8
2025-07-01,0.2,9.72
2025-06-30,0.475,9.7
2025-06-26,0.42,9.81
2025-06-24,0.35,9.8
2025-06-23,0.525,9.67
2025-06-16,-0.25,9.59
2025-06-12,0.4333,9.77
2025-06-11,0.85,9.7
2025-06-10,0.0,9.66
2025-06-09,0.3,9.68
2025-06-03,0.0,9.76
2025-05-29,-0.35,9.87
2025-05-28,0.0,9.84
2025-05-27,0.1545,9.85
2025-05-26,0.25,9.92
2025-05-21,0.1625,10.0
2025-05-20,0.4167,10.04
2025-05-19,0.6,10.14
2025-05-14,0.7,10.2
2025-05-13,0.2,10.2
2025-05-08,0.15,9.88
2025-05-07,0.3,10.0
2025-05-06,0.1167,9.96
2025-05-05,0.1,10.0
2025-05-02,0.1,9.99
2025-05-01,0.45,9.99
2025-04-30,0.525,9.99
2025-04-28,-0.09,9.99
2025-04-25,-0.0667,9.87
2025-04-24,0.25,9.95
2025-04-23,0.75,9.95
2025-04-22,0.65,9.95
2025-04-21,0.225,9.98
2025-04-18,0.25,10.02
2025-04-17,-0.3,9.87
2025-04-16,0.3,9.84
2025-04-15,0.35,9.94
2025-04-14,0.5,9.89
2025-04-11,0.125,9.82
2025-04-10,-0.05,9.99
2025-04-08,0.275,9.88
2025-04-05,0.7,9.88
2025-04-04,-0.35,10.24
2025-04-03,0.45,10.26
2025-04-02,0.25,10.32
2025-03-28,0.3125,10.12
2025-03-27,0.2,10.36
2025-03-26,0.15,10.18
2025-03-25,0.4,10.22
2025-03-21,-0.15,10.18
2025-03-20,0.18,10.18
2025-03-19,0.325,10.36
2025-03-18,0.25,10.36
2025-03-17,0.25,10.42
2025-03-07,0.07,10.64
2025-03-04,0.3167,10.6
2025-03-03,0.425,10.68
2025-03-02,0.75,10.68
2025-02-27,0.3955,10.66
2025-02-26,0.39,10.7
2025-02-24,0.3,10.48
2025-02-22,0.0,10.48
2025-02-20,0.0333,10.44
2025-02-19,-0.3667,10.5
2025-02-18,-0.175,10.54
2025-02-17,0.1,10.56
2025-02-14,0.8,10.56
2025-02-13,0.0,10.52
2025-02-12,0.7,10.6
2025-02-10,0.6,10.46
2025-02-05,0.25,10.34
2025-01-28,-0.25,10.24
2025-01-24,0.3,10.4
2025-01-22,-0.25,10.36
2025-01-20,0.0,10.28
2025-01-15,0.1,10.14
2025-01-12,0.4,10.14
2025-01-07,0.1,10.16
2025-01-02,0.775,10.18
2024-12-11,0.1,10.12
2024-12-05,0.25,10.22
2024-12-02,0.0,10.08
2024-11-30,0.4,10.08
2024-11-28,0.4,10.2
2024-11-27,0.675,10.18
2024-11-26,0.6,10.22
2024-11-25,0.6,10.3
2024-11-13,0.2,10.42
2024-11-12,0.175,10.48
2024-11-11,0.1,10.34
2024-11-08,0.75,10.5
2024-10-30,0.1,10.5
2024-10-29,0.55,10.46
2024-10-28,-0.3,10.4
2024-10-27,0.29,10.4
2024-10-26,0.3,10.4
2024-10-25,0.0333,10.54
2024-10-24,0.2,10.58
2024-10-23,0.1,10.62
2024-10-22,0.5625,10.62
2024-10-20,0.375,10.62
2024-10-19,0.4,10.62
2024-10-17,-0.1,10.68
2024-10-09,0.65,10.5
2024-10-03,0.6,10.54
2024-10-02,0.4,10.46
2024-09-24,0.6,10.74
2024-09-22,0.6,10.74
2024-09-19,0.6,10.64
2024-09-11,0.85,10.68
2024-08-30,0.5,10.78
2024-08-29,0.4,10.68
2024-08-22,0.8,10.44
2024-08-15,0.65,10.18
2024-08-13,0.625,10.2
2024-08-08,0.525,10.14
2024-08-07,0.6,10.14
2024-07-24,0.05,10.12
2024-07-17,0.65,10.08
2024-07-16,0.4,10.1
2024-07-10,0.5,10.02
2024-07-07,0.75,10.02
2024-07-05,0.4,10.04
2024-06-27,0.65,9.96
2024-05-28,0.65,9.99
2024-04-29,0.85,9.75
2024-03-22,0.6,9.59
2024-03-11,0.65,9.82
